DataLeap 版本,定价,单位,推荐应用场景说明,地域
"数据开发特惠版","200","个","面向数据开发场景的解决方案：数据开发限时特惠，每日免费提供20个公共调度实例资源及2CU*时公共计算资源，同时还包括数据开发、数据集成、任务运维、资产检索、数据安全管理功能。","华北2（北京）"
"数据开发特惠版","200","个","面向数据开发场景的解决方案：数据开发限时特惠，每日免费提供20个公共调度实例资源及2CU*时公共计算资源，同时还包括数据开发、数据集成、任务运维、资产检索、数据安全管理功能。","华南1（广州）"
"数据开发特惠版","200","个","面向数据开发场景的解决方案：数据开发限时特惠，每日免费提供20个公共调度实例资源及2CU*时公共计算资源，同时还包括数据开发、数据集成、任务运维、资产检索、数据安全管理功能。","华东2（上海）"
"大数据分析","4000","个","轻量级数仓建设解决方案：面向业务复杂度较低的企业，提供轻量级数仓建设方案。覆盖实时、离线场景，提供数据加工、查询分析、生产运维、数据质量、资产检索及数据安全管控，助力企业快速构建数仓。","华北2（北京）"
"大数据分析","4000","个","轻量级数仓建设解决方案：面向业务复杂度较低的企业，提供轻量级数仓建设方案。覆盖实时、离线场景，提供数据加工、查询分析、生产运维、数据质量、资产检索及数据安全管控，助力企业快速构建数仓。","华南1（广州）"
"大数据分析","4000","个","轻量级数仓建设解决方案：面向业务复杂度较低的企业，提供轻量级数仓建设方案。覆盖实时、离线场景，提供数据加工、查询分析、生产运维、数据质量、资产检索及数据安全管控，助力企业快速构建数仓。","华东2（上海）"
"大数据集成","4000","个","领先的多源异构数据集成解决方案：面向业务数据存储系统多样的企业，提供领先的多源异构数据集成方案。覆盖实时、离线场景，基于独有的数据集成引擎引擎方案，满足企业级海量数据集成需求。","华东2（上海）"
"大数据集成","4000","个","领先的多源异构数据集成解决方案：面向业务数据存储系统多样的企业，提供领先的多源异构数据集成方案。覆盖实时、离线场景，基于独有的数据集成引擎引擎方案，满足企业级海量数据集成需求。","华南1（广州）"
"大数据集成","4000","个","领先的多源异构数据集成解决方案：面向业务数据存储系统多样的企业，提供领先的多源异构数据集成方案。覆盖实时、离线场景，基于独有的数据集成引擎引擎方案，满足企业级海量数据集成需求。","华北2（北京）"
"DataOps敏捷研发","30000","个","数据研发全链路管理解决方案：面向业务复杂度高，关注数据研发及管理效率的企业，提供基于DataOps的协作式数据研发最佳实践方案。提供CI/CD自动化能力，通过智能化、自动化技术，实现数据交付效率及质量提升。","华东2（上海）"
"DataOps敏捷研发","30000","个","数据研发全链路管理解决方案：面向业务复杂度高，关注数据研发及管理效率的企业，提供基于DataOps的协作式数据研发最佳实践方案。提供CI/CD自动化能力，通过智能化、自动化技术，实现数据交付效率及质量提升。","华南1（广州）"
"DataOps敏捷研发","30000","个","数据研发全链路管理解决方案：面向业务复杂度高，关注数据研发及管理效率的企业，提供基于DataOps的协作式数据研发最佳实践方案。提供CI/CD自动化能力，通过智能化、自动化技术，实现数据交付效率及质量提升。","华北2（北京）"
"湖仓一体","30000","个","湖仓一体建设解决方案：全托管EB级湖仓一体解决方案，针对湖仓一体场景，提供一站式全链路的数据建设能力。针对湖仓场景需求，提供特性能力优化，覆盖数据集成、数据开发、资产管理、数据治理等。","华东2（上海）"
"湖仓一体","30000","个","湖仓一体建设解决方案：全托管EB级湖仓一体解决方案，针对湖仓一体场景，提供一站式全链路的数据建设能力。针对湖仓场景需求，提供特性能力优化，覆盖数据集成、数据开发、资产管理、数据治理等。","华南1（广州）"
"湖仓一体","30000","个","湖仓一体建设解决方案：全托管EB级湖仓一体解决方案，针对湖仓一体场景，提供一站式全链路的数据建设能力。针对湖仓场景需求，提供特性能力优化，覆盖数据集成、数据开发、资产管理、数据治理等。","华北2（北京）"
"分布式数据自治","50000","个","数据全生命周期治理解决方案：EB级海量数据治理经验，支撑拥有百+业务线大型企业发展的最佳实践沉淀，面向大型企业提供数据全生命周期治理方案。同时，还提供企业数据治理轻咨询服务。","华东2（上海）"
"分布式数据自治","50000","个","数据全生命周期治理解决方案：EB级海量数据治理经验，支撑拥有百+业务线大型企业发展的最佳实践沉淀，面向大型企业提供数据全生命周期治理方案。同时，还提供企业数据治理轻咨询服务。","华南1（广州）"
"分布式数据自治","50000","个","数据全生命周期治理解决方案：EB级海量数据治理经验，支撑拥有百+业务线大型企业发展的最佳实践沉淀，面向大型企业提供数据全生命周期治理方案。同时，还提供企业数据治理轻咨询服务。","华北2（北京）"
,
,
,
资源,售卖模式,单价,单位,地域
"公共调度资源组（按天/月统计）","按量计费","0.05","元/实例","华南1（广州）"
"公共调度资源组（按天/月统计）","按量计费","0.05","元/实例","华东2（上海）"
"公共计算资源组（按天/月统计）","按量计费","0.6","元/CU/小时","华北2（北京）"
"公共计算资源组（按天/月统计）","按量计费","0.6","元/CU/小时","华南1（广州）"
"公共计算资源组（按天/月统计）","按量计费","0.6","元/CU/小时","华东2（上海）"
"公共数据服务资源组","按量计费","0.05","元/万次","华东2（上海）"
"公共数据服务资源组","按量计费","0.05","元/万次","华南1（广州）"
"公共数据服务资源组","按量计费","0.05","元/万次","华北2（北京）"
,
,
,
资源,售卖方式,单价,单位,地域
"独享计算资源组","包月","240","CU","华北2（北京）"
"独享计算资源组","包月","240","CU","华南1（广州）"
"独享计算资源组","包月","240","CU","华东2（上海）"
"独享调度资源组","包月","120","CU","华北2（北京）"
"独享调度资源组","包月","120","CU","华南1（广州）"
"独享调度资源组","包月","120","CU","华东2（上海）"
"独享数据服务资源组","包月","1200","qps","华北2（北京）"
"独享数据服务资源组","包月","1200","qps","华南1（广州）"
"独享数据服务资源组","包月","1200","qps","华东2（上海）"
