产品,服务,地域,售卖模式
向量数据库,向量数据库,"华北2（北京）/华东2（上海）/亚太东南（柔佛）",按量计费

计费项,定义,如何计费,单价,单位
计算资源,"构建索引、自动优化分析、线上检索依赖的计算资源。","按 CU（Compute Unit）计量，1 CU 包含的计算资源为 8 GB 内存和 1 CPU Core。 计算公式为 CU = MAX（CPU, MEM / 8），当使用的内存大于8倍的 1 CPU Core 时，CU 用量为消耗内存量除以 8。",0.45,元/CU/小时
计算资源DiskANN,"构建DiskANN索引，自动优化分析，线索检索依赖的计算资源。","按 CU（Compute Unit）计量，1 CU 包含的计算资源为 8 GB 内存和 1 CPU Core和224G磁盘，计算公式为 CU = MAX（CPU, MEM / 8, disk/224），以最大资源部分来计算成本。",0.83,元/CU/小时
离线存储资源,"向量和向量相关的数据属性所需的存储资源。",按占用的 GB 计量。,0.0015,元/GB/小时
多模态向量模型-图像输入（Doubao-embedding-vision）,"提供图文向量服务，支持图片输入及中、英双语文本输入，最长 8K 上下文长度，输出 3072 维的稠密向量。",按输入的 tokens 计量。,0.0018,元/千tokens
多模态向量模型-文本输入（Doubao-embedding-vision）,"提供图文向量服务，支持图片输入及中、英双语文本输入，最长 8K 上下文长度，输出 3072 维的稠密向量。",按输入的 tokens 计量。,0.0007,元/千tokens
文本向量模型（Doubao-embedding-large）,"提供文本向量服务，帮助开发者将文本数据快速转换为向量数据。",按输入的 tokens 计量。,0.0007,元/千tokens
文本向量模型（Doubao-embedding）,"提供文本向量服务，支持多语言和长文本，可同时进行稀疏和稠密索引构建和检索。",按输入的 tokens 计量。,0.0005,元/千tokens
图文向量模型,"提供文本向量服务，以豆包语言模型为基座。",按输入的 tokens 计量。,0.0005,元/千tokens
文本向量模型（多功能版）,"提供文本向量服务，采用能力更强的豆包语言模型为基座。",按输入的 tokens 计量。,0.0005,元/千tokens
文本向量模型,"提供图文向量服务，可对文本或图片进行单独编码，或者对文本图片对联合编码，输出1024维的稠密向量。",按输入的 tokens 计量。,0.0005,元/千tokens
